date invoice,aliac,upc,name,barcode,Ordered QTY,Size US/UK,eu size,rrp,Season,gender,color,Category,cost,silling price,customer price,Brand
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747374,3,9.5,43.0,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414559,2,10.5,44.0,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414566,1,11.0,44.5,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414573,1,11.5,45.0,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414597,1,12.5,46.0,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414498,1,7.5,40.5,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414504,1,8.0,41.0,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414511,2,8.5,42.0,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414528,2,9.0,42.5,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220615CHAR,220615CHAR,Air Cooled Grid Mesh Lace Up W/ Hotmelt Details,198376414535,3,9.5,43.0,320,fw25,MENS,CHAR,Footwear,160.48,185.6,256,Air
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364882,2,10.5,44.0,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364899,1,11.0,44.5,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364905,1,11.5,45.0,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364929,1,12.5,46.0,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364820,1,7.5,40.5,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364837,1,8.0,41.0,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364844,2,8.5,42.0,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364851,2,9.0,42.5,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757BBK,220757BBK,100% Waterproof - Trail - Lace Up W/ Overlays,197976364868,3,9.5,43.0,450,fw25,MENS,BBK,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976543034,2,10.5,44.0,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976543041,1,11.0,44.5,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976543058,1,11.5,45.0,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976543072,1,12.5,46.0,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976542976,1,7.5,40.5,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976542983,1,8.0,41.0,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976542990,2,8.5,42.0,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976543003,2,9.0,42.5,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
45915,220757GYOR,220757GYOR,100% Waterproof - Trail - Lace Up W/ Overlays,197976543010,3,9.5,43.0,450,fw25,MENS,GYOR,Footwear,225.675,261.0,360,100%
